,text,sentiment,comment_clean
35,Phiên bản mình nhận được là version 4  giao hàng nhanh nhưng hộp máy không có seal của Tiki nắp lưng thì trong trạng thái tháo nửa vời  mong có lời giải thích từ Tiki.,0,phiên_bản được version 4 giao hàng nhanh hộp máy không seal tiki nắp lưng trạng_thái tháo nửa_vời mong giải_thích tiki
36,hàng trung quốc mà giới thiệu hàng Mỹ,0,hàng trung quốc giới_thiệu hàng mỹ
37, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn...tuyệt!!!!,1,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp tuyệt
38,Chúc shop làm ăn mau mắn !,1,chúc shop làm_ăn mau_mắn
39,"Đẹp quá shopp ạ ưng lắm luôn 
Địu nhẹ , đẹp màu hường kute mà chắc chắn dễ dùng nữa 
👏👏👏👏👏
 Đóng gói sản phẩm chắc chắn
 Rất đáng tiền",1,đẹp shopp ưng lắm địu nhẹ đẹp màu hường dễ_thương dễ dùng đóng_gói sản_phẩm tiền
40,"""Vừa mua em này cho con S6 nhà em, công nhận tốc độ nhanh kinh thật""",1,mua cho s6 công_nhận tốc_độ nhanh kinh
41," Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh
Tuy nhiên máy quay bằng nhựa nên dễ bể...
5*",1,đóng_gói sản_phẩm đẹp giao hàng nhanh máy nhựa nên dễ bể 5
42,Tôi đã đổi mà chưa thấy chuyển hàng lại. Đề nghị TIKI xem đang mắc ở khâu nào. Việc đổi hàng như thế là quá chậm. Đề nghị sớm có trả lời để khách hàng yên tâm. Xin cảm ơn,0,đổi thấy hàng đề_nghị tiki mắc khâu đổi hàng chậm đề_nghị trả_lời khách_hàng yên_tâm
43,"Hàng đẹp..
Đóng gói chắc chắn cẩn thận",1,hàng đẹp đóng_gói cẩn_thận
44,"""gear s2 đỉnh cao của công nghệ. đẹp""",1,gear s2 đỉnh_cao công_nghệ_đẹp
45,1 ô phấn bị bể ,0,1 phấn bể
46,Hàng đẹp. Núm ăn dặm mềm chất lượng. Ok,1,hàng đẹp núm ăn dặm mềm chất_lượng được
47,Thơm lắm ạ😘😘😘 Chất lượng sản phẩm tuyệt vời,1,thơm lắm chất_lượng sản_phẩm tuyệt_vời
48,Luc giao hang chang thay hop dau. Dua ch cai chai boc lop nhua la xog. Thay khong thich roi tinh tra hang ma ngi dang can nen de xai. Buc boi giong mua hang cho.,0,luc giao hang chang thay hợp dau dua cai chai boc lop nhua la xong thay khong thich rồi tinh tra hang ma nghĩ dang công_an nen de xai buc boi giong mua hang cho
49,Hàng giá rẻ sợ nhất là giặt ra màu nhưng 10 bộ như 10. Giặt ngâm đã lun cũng ko sao. So với giá thì chất vải là tuyệt vời ạ. Bộ nào cũng ưng hết á. Thấy hàng là giặt ngay để feedback shop chính xác nè. 5 sao cho shop ạ. ,1,hàng giá rẻ sợ giặt màu 10 như 10 giặt ngâm không giá chất vải tuyệt_vời ạ bộ ưng hết thấy hàng giặt feedback shop chính_xác nè 5 cho shop
50,sách tiki gio mua Minh thấy k hai long cho lắm (k biết la tai khâu gói hàng hay văn chuyển)  hay bi rách góc sach va bi gap các trang,0,sách tiki gio mua minh thấy không hai long cho lắm không biết la tai khâu gói hàng văn chuyển bi rách góc sach va bi gap trang
51,Tốt lắm,1,tốt lắm
52,Bút ra mực mờ nhạt . Đặt xanh đưa đen.,0,bút mực mờ_nhạt đặt xanh đen
53,Chất lượng sản phẩm tuyệt vời. Có điều bé m k mặc đc quần vì quá dài hiu hiu,1,chất_lượng sản_phẩm tuyệt_vời bé mày không mặc được quần hiu_hiu
54,"Bán ở shopee mall mà lại bán hàng kg chính hãng Thất vọng 
 Shopee xem xét lại vấn đề này nha 
 Các bn mua hàng cũng nên cẩn trọng 
Check mã vạch kg phải hàng chính hãng mà là hàng tàu nha 
Mã 690 đầu mã vạch là của tàu khựa ",0,bán shopee mall bán hàng không chính hãng thất_vọng shopee xem_xét bn mua hàng cẩn_trọng check mã_vạch không phải hàng chính hãng hàng tàu nhé mã 690 đầu mã_vạch tàu khựa
55,"Uy tín chất lượng lắm ạ !!
",1,uy_tín chất_lượng lắm
56,Đúng Màu đúng hình rất đẹp mà còn rẻ nửa.,1,đúng màu đúng hình đẹp mà còn rẻ_nửa
57, Đóng gói sản phẩm rất đẹp và chắc chắn. còn chất lượng thì phải thêm thời gian nữa mới biêt đc. dù sao vẫn cho shop 5 sao vì giá  tôt,1,đóng_gói sản_phẩm đẹp chất_lượng phải thêm biêt được cho shop 5 giá tôt
58,Tuyệt cú mèo.. rất hài lòng ạ.. săn dear ủng hộ shop dài dài,1,tuyệt cú_mèo hài_lòng săn dear ủng_hộ shop
59,Giày đẹp Đóng gói sản phẩm rất đẹp và chắc chắn. Shop phục vụ rất tốt,1,giày đẹp đóng_gói sản_phẩm đẹp shop phục_vụ tốt
60, Shop phục vụ tốt sản phẩm tốt,1,shop phục_vụ tốt sản_phẩm tốt
61,"""Thôi phát sợ Sony rồi. Tôi mua M5 năm ngoái hứa hẹn lên thẳng Android 6 mà giờ lại kẹt ở 5.1, chắc không có 6 luôn. Trong khi đó M5 giá đắt gần bằng flagship mấy hãng khác. Pin cũng không được 2 ngày như tuyên bố. Không có phần mềm quản lý file mặc định, File commander phải trả tiền để hết quảng cáo. Kết: chất lượng máy ok nhưng support thì cạch đến già hãng này.""",0,phát sợ sony rồi mua m5 năm_ngoái hứa_hẹn thẳng android 6 kẹt 5 1 không 6 m5 giá đắt flagship mấy hãng pin không được 2 như tuyên_bố không phần_mềm quản_lý file mặc_định file commander phải tiền hết quảng_cáo kết chất_lượng máy được hỗ_trợ cạch già hãng
62,Giao Thiếu hàng,0,giao hàng
63,Sản phẩm in mờ và được nhiều người phản ánh khó đọc.,0,sản_phẩm in mờ được nhiều phản_ánh đọc
64,Shop tư vấn nhiệt tình giao hàng nhanh  1 combo sách rất hay  vai trò là chủ shop quần áo  mình thấy sách rất hữu ích và thiết thực ,1,shop tư_vấn nhiệt_tình giao hàng nhanh 1 combo sách vai_trò chủ shop quần_áo thấy sách hữu_ích thiết_thực
65,Bên Tiki cam kết dây rất bền nhưng sau khi dùng được chỉ hơn 1 tháng thì nó đã bị như vậy @@ Cần có cách cam kết tốt hơn nếu sản phẩm không tốt như quảng cáo,0,tiki cam_kết dây bền dùng được chỉ hơn 1 tháng cần cam_kết tốt hơn sản_phẩm không tốt như quảng_cáo
66,Máy êm dùng tốt mình k bit cách sử dụng shop nhiệt tình hướng dẫn. vote 5 sao,1,máy êm dùng tốt không biết shop nhiệt_tình hướng_dẫn vote 5
67,M có hỏi là lót lông ko mà shop ko rep @@ hàng gửi đến chất lượng tệ @@,0,mày lót lông không shop không rep hàng gửi chất_lượng tệ
68,Dịch giả không có tâm hoặc quá kém dịch như Google Dịch.,0,dịch_giả không tâm kém dịch như google dịch
69,Cảm giác rất hài lòng với sản phẩm bên shop. Giá cả hợp lý thế này còn mua ủng hộ dài dài,1,cảm_giác hài_lòng sản_phẩm shop giá_cả hợp_lý thế này mua ủng_hộ
70,Sờ đã chán rồi như áo mưa ý cứng kềnh kệch,1,sờ chán rồi như áo_mưa cứng kềnh_kệch
71,Chất lượng sản phẩm tốt nhưng sau 1 lần giặt màu của các ô kẻ trên giày bị bạc đi rất nhiều ,0,chất_lượng sản_phẩm tốt 1 lần giặc màu kẻ trên giày bạc đi nhiều
72,Săn đc với giá 11k. Toẹt vời,1,săn được giá 11 k tuyệt_vời
73, Chất lượng sản phẩm tuyệt vời. Dễ thương lắm luôn.,1,chất_lượng sản_phẩm tuyệt_vời dễ_thương lắm
74,That vọng qua bếp bi Bể móp hoag toàn cái hộp dung rách banh hết luon tray xuoc tùm lum ,0,that vọng bếp bi bể móp hoang toàn hộp dung rách banh hết luon tray xuoc tùm_lum
75,Son đẹp nhe đóng gói cẩn thận sẽ ủng hộ mấy lần tới ạ Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn,1,son đẹp nhe đóng_gói cẩn_thận ủng_hộ mấy lần đóng_gói sản_phẩm đẹp đóng_gói sản_phẩm đẹp
76, Thời gian giao hàng rất nhanh. Ưng ý với sản phẩm ❤️,1,giao hàng nhanh ưng_ý sản_phẩm ️
77,Sim này báo theo tháng nha mn đừng nghĩ nó hết hạn sớm.,1,sim báo tháng đừng hết hạn
78,"Chất lượng sản phẩm rất kém Rất không đáng tiền
Mua cả 500k tiền băng keo mỏng dính dán giấy mà cũng rớt nt nói shop shop trả lời câu đã nói bên sản xuất cảm ơn => xin lỗi vậy cả 50 cuộn bk ko dán đc vầy sẽ làm sao??? Ko phải mua lần đầu shop làm ăn như vậy chả ai dám quay lại",0,chất_lượng sản_phẩm kém không tiền mua 500 k tiền băng_keo mỏng_dính dán giấy rớt nhắn_tin shop shop trả_lời câu sản_xuất xin_lỗi 50 cuộn biết không dán được vầy không phải mua lần đầu shop làm_ăn chả dám
79, Thời gian giao hàng rất nhanh mặt gương của ốp có vài chỗ trầy nhẹ,1,giao hàng nhanh mặt gương ốp chỗ trầy nhẹ
80,đèn k sử dụng được. khi đang sạc sao k quạt được ở mức 2 và 3,0,đèn không được sạc sao không quạt được 2 3
81,"Đoàn cán bộ của TP HCM báo cáo rằng cần có chính sách quyết liệt hơn nhằm hạn chế xe cá nhân , thế thì cái điều logic là xe công cộng phải phát triển mạnh .",1,đoàn cán_bộ thành_phố hồ chí minh báo_cáo cần chính_sách quyết_liệt hơn hạn_chế xe logic xe công_cộng phải phát_triển
82,Mùi sp ko thicks lắm,0,mùi sản_phẩm không thicks lắm
83, Thời gian giao hàng rất nhanh.đi lúc 8h nvậy có trễ k mà đồ ăn k đc tươi như mấy buffet ở chỗ khác.,1,giao hàng nhanh đi 8 h trễ không đồ ăn_không được tươi như mấy buffet chỗ
84, Đã mua khô gà ở rất nhiều shop nhưng chỉ thấy shop bạn là ngon nhất..se ủng hộ shop tiếp ...Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh,1,mua khô gà nhiều shop chỉ thấy shop ngon se ủng_hộ shop tiếp chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp shop phục_vụ tốt tiền giao hàng nhanh giao hàng nhanh giao hàng nhanh
85,sp có mùi khó chiu!!! ko biet co phai la hang fake ko nua??? hoi hoang mang????,0,sản_phẩm mùi chiu không biet co phai la hang giả không nua hoi hoang_mang
86,mua hàng ở đây rất nh lần r nhưng lần 1 chai bị vỡ nắp đổ tràn hết ra :| k biết là do chai vỡ từ trc xong shop vẫn cố ship cho khách hay là vỡ do bên vận chuyển??,0,mua hàng lần rồi lần 1 chai vỡ nắp đổ tràn hết không biết chai vỡ xong shop cố ship cho khách vỡ vận_chuyển
87,"Bìa sách đẹp giấy dày chữ in rõ nét!Những truyện ban đầu rất hay, là tập hợp của nhiều truyện nước ngoài nổi tiếng! Nhưng khoảng 10 truyện đầu thôi, còn lại những truyện sau đó thì theo mình giống truyện tự tưởng tượng ra và giáo huấn trẻ con như học bài, tới bản thân mình là người lớn còn cảm thấy khó chịu khi đọc huống hồ chi là con trẻ ( khi đọc truyện sẽ giống học đạo đức ở trường)!
Mình góp ý với các nhà xuất bản nên cân nhân khi xuất bản một trong những lý do khiến mình thích đọc truyện Tây là bởi vì người ta không trình này kiểu giáo điều răn đe người ta kể rất tự nhiên chủ kể còn ý nghĩa như thế nào sẽ tự mỗi ngừoi cảm nhậnnhư vậy hay hơn nhiều!",0,bìa sách đẹp giấy dày chữ in nét truyện ban_đầu tập_hợp nhiều truyện nước_ngoài nổi_tiếng 10 truyện đầu truyện giống truyện tưởng_tượng giáo huấn trẻ_con như học người_lớn khó_chịu đọc huống_hồ chi con_trẻ đọc truyện giống học đạo_đức trường góp_ý nhà xuất_bản nên cân nhân xuất_bản một thích đọc truyện tây ta không trình kiểu giáo_điều răn_đe_ta tự_nhiên chủ_ý_nghĩa ngừoi cảm_nhậnnhư hơn nhiều
88,Hàng chuẩn cảm ơn shop,1,hàng chuẩn shop
89,cực thích cenly 😉😉 chị chủ nói chuyện cũng dễ thương nữa 😉😉 sẽ ủng hộ shop dài dài 💓💓💓,1,cực thích cenly chủ nói_chuyện dễ_thương ủng_hộ shop
90,Đẹp và sang trọng mình hy vọng độ bền cao.,1,đẹp sang_trọng hy_vọng độ bền
91,mẫu mã như hình còn chất lượng thì chưa đánh giá được vì mới nhận hàng cần thời gian kiểm chứng! tạm thời ok! Sử dụng hơn 1 tháng thấy ổn định.,1,mẫu_mã như hình chất_lượng được hàng cần kiểm_chứng tạm_thời được hơn 1 tháng thấy ổn_định
92,Máy chạy cực êm khuyếch tán tốt,1,máy chạy cực êm khuyếch táng tốt
93,Chun rộng thênh thang . Vậy may chun quần chi vậy,0,chun rộng thênh_thang may chun quần chi
94,"Tiện dụng
phần mắt nhỏ quá phải tự thiết kế lại
nạ khá rộng",1,tiện_dụng phần mắt phải thiết_kế rộng
95, Thời gian giao hàng rất nhanh Đóng gói sản phẩm rất đẹp và chắc chắn mực ngọt quá không hợp khẩu vị của mình.,1,giao hàng nhanh đóng_gói sản_phẩm đẹp mực không hợp_khẩu_vị
96, Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.chất lượng chưa dùng nên chưa biết,1,đóng_gói sản_phẩm đẹp đóng_gói sản_phẩm đẹp shop phục_vụ tốt giao hàng nhanh chất_lượng dùng nên biết
97,Lần thứ 2 mua son của shop lần nào e cũng rất ưng. Son cực đẹp chuẩn auth thích lắm. Nhất định sẽ ủng hộ shop nữa ạ.,1,lần 2 mua son shop lần ưng_son cực đẹp chuẩn thích lắm ủng_hộ shop
98,Hàng vận chuyển bị nứt mẻ 1 góc.chất lượng ok.,1,hàng vận_chuyển nứt mẻ 1 góc chất_lượng được
99,Bàn phím 7 màu?? 1 màu cũng không có. Không hề có đèn phía dưới phím luôn ấy. Quảng cáo cho lắm vào. Thất vọng!Chuột dùng 3 ngày thì hỏng. ,0,bàn_phím 7 màu 1 màu không không hề đèn dưới phím quảng_cáo cho lắm thất_vọng chuột dùng 3 hỏng
100, Chất lượng sản phẩm rất kém. Mua 3 đôi k vừa 1 đôi mà kêu size chuẩn.,0,chất_lượng sản_phẩm kém mua 3 đôi không 1 đôi kêu size chuẩn
101,Hàng đẹp sài rất tốt Chất lượng sản phẩm tuyệt vời,1,hàng đẹp xài tốt chất_lượng sản_phẩm tuyệt_vời
102,Em nhận đc hàng rồi ạ. Cảm ơn shop nhiều. Hàng đẹp lắm 😍 ,1,được hàng rồi shop nhiều hàng đẹp lắm
103,Hang ok . Moi thoa thu da nong ran ran 😍,1,hang được moi thoa thu da nong ran ran
104, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn giay rat đep pom đep ,1,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp giay rat đep pom đep
105,Xinh quá không nỡ ăn 😂 hộp quà yêugói hàng kĩ 2-3 lớp chống sốc bóc phêchắc là vì shop ở HN nên hnay thấy shopee giao nhanh vl,1,xinh không nỡ ăn hộp quà yêugói hàng kĩ 2 3 lớp chống sốc bóc phêchắc shop hn nên hôm_nay thấy shopee giao nhanh vãi lồn
106,Khác tấm trong hình :( ,1,hình
107,Sản phẩm ko được như kỳ vọngko di chuột chuẩn được,0,sản_phẩm không được như kỳ vọngko_di_chuột chuẩn được
108,"Sp và quy cách đóng gói đều ok shop ạ
",1,sản_phẩm quy_cách đóng_gói được shop
109,Mua có cái quạt mà cũng bán hàng lỗi cho khách. Coi như tháng 7 cúng cô hồn vậy. Mọi người mua nhớ kiểm tra kỹ trước khi nhận,0,mua quạt bán hàng lỗi cho khách coi như tháng 7 cúng cô_hồn mua kiểm_tra kỹ
110,Hàng lỗi ,0,hàng lỗi
111,Mua về sạc hong đc -> hư,1,mua về sạc không được hư
112,"Để nguyên giá đôla Mỹ đi, đừng qui đổi ra tiền việt. Nghe choáng quá",0,nguyên giá đôla mỹ đi đừng quy_đổi tiền việt_choáng
113, Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền. Thank shop bé nhà mình rất thích ,1,đóng_gói sản_phẩm đẹp tiền thank shop bé thích
114,K đúng với số màu mà mình chọn,0,không đúng màu
115,chưa uống nên chưa biết chất lượng ra sao. nhận được hàng trong tình trạng vỏ hộp méo mó rất nhiều tem niêm phong hộp thuốc thì có tình trạng đã có người mở ra rồi cố dán lại.,0,uống nên biết chất_lượng được hàng vỏ hộp đéo mó nhiều tem niêm_phong hộp thuốc rồi cố dán
116,Đúng là tiền nào của đó ko ngon mùi kì kì ko thơm như lạp xưởng bình thường! Thất vọng vô cùng!!!,1,đúng tiền không ngon mùi kì kì không thơm như lạp_xưởng bình_thường thất_vọng vô_cùng
117, Shop phục vụ rất tốt. Được tặng kèm gương mini dễ thương.  Đóng gói sản phẩm rất đẹp và chắc chắn.,1,shop phục_vụ tốt được tặng kèm gương mini dễ_thương đóng_gói sản_phẩm đẹp
118, Chất lượng sản phẩm kém Đóng gói sản phẩm rất đẹp và chắc chắn Giá cả chấp nhận được Thời gian giao hàng chậm,0,chất_lượng sản_phẩm kém đóng_gói sản_phẩm đẹp giá_cả chấp_nhận được giao hàng chậm
119,Phím hỏng k bấm đc chữ đéo nào. Lừa đảo các bạn đừng lên mua đồ ở cái shop này. Đm nhận đc cái phím chưa kịp cười đã ức vì bị lừa trắng trợn,0,phím hỏng không bấm được chữ đéo lừa_đảo đừng mua đồ shop địt_mẹ được phím kịp cười ức lừa trắng_trợn
120, Chất lượng sản phẩm tuyệt vời. Táo tặng kèm ăn rất ngon. Cảm ơn Shop.,1,chất_lượng sản_phẩm tuyệt_vời táo tặng kèm ăn ngon shop
